LineItem,GrandParent,Parent
R & D,ADVERTISING AND PROMOTION,ADVERTISING AND PROMOTION
Event Expenses,ADVERTISING AND PROMOTION,ADVERTISING AND PROMOTION
Commission Expenses,ADVERTISING AND PROMOTION,ADVERTISING AND PROMOTION
Complimentry Cost,ADVERTISING AND PROMOTION,ADVERTISING AND PROMOTION
Subscriptions,ADVERTISING AND PROMOTION,ADVERTISING AND PROMOTION
Photgraphy Expenses,ADVERTISING AND PROMOTION,ADVERTISING AND PROMOTION
Travel and Entertainment - Other,TRAVEL AND ENTERTAINMENT,TRAVEL AND ENTERTAINMENT
Airfare,TRAVEL AND ENTERTAINMENT,TRAVEL AND ENTERTAINMENT
Meals & Entertainment,TRAVEL AND ENTERTAINMENT,TRAVEL AND ENTERTAINMENT
Lodging,TRAVEL AND ENTERTAINMENT,TRAVEL AND ENTERTAINMENT
Taxi Charges & Local Travel,TRAVEL AND ENTERTAINMENT,TRAVEL AND ENTERTAINMENT
Auto Expenses,TRAVEL AND ENTERTAINMENT,TRAVEL AND ENTERTAINMENT
General and Administrative Exps - Other,PROFESSIONAL FEES,PROFESSIONAL FEES
Chargebacks,Other Expenses,Other Expenses
Extra/Short Receipts,Other Expenses,Other Expenses
Under/Over,Other Expenses,Other Expenses
Digital Sales - Adjustment,Other Expenses,Other Expenses
Supplies and Maintenanc - Other,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
Linen & Laundry,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
Paper Supplies,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
Office Supplies/Stationery,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
Repairs General,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
Repairs Equipment,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
BOH Supplies & Accessories,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
FOH Supplies & Accessories,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
Packaging Supplies,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
China,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
Glassware,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
Silverware,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
Menus,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
Cleaning Supplies,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
Flowers & Candles,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
Equipment Rental,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
Office Supplies/Stationery,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
Trash/Waste Removal Service,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
Pest Control,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
IT Cost,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
Postage & Courier,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
Music,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
Professional Fee - Other,PROFESSIONAL FEES,PROFESSIONAL FEES
Legal Fee,PROFESSIONAL FEES,PROFESSIONAL FEES
Audit Fee,PROFESSIONAL FEES,PROFESSIONAL FEES
Tax Fee,PROFESSIONAL FEES,PROFESSIONAL FEES
Professional Fee,PROFESSIONAL FEES,PROFESSIONAL FEES
Accounting Fee,PROFESSIONAL FEES,PROFESSIONAL FEES
Consulting Fee,PROFESSIONAL FEES,PROFESSIONAL FEES
Bookkeeping Fees,PROFESSIONAL FEES,PROFESSIONAL FEES
Guaranteed Payments,PROFESSIONAL CHARGES,PROFESSIONAL CHARGES
Other Financial Costs - Other,OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
Payroll Processing Charges,OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
Credit Card Charges,OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
Bank Carges,OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
Donations,OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
Royalties,OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
Tangible Property Taxes,OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
Penalties,OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
"License, Permits & Filling Fees",OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
Sales and Use Tax,OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
Tip Expenses,OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
Finance Charges,OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
Umbrella Insurance,OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
Liability Insurance,OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
Property Insurance,OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
Utilities - Other,UTILITIES,UTILITIES
Electricity,UTILITIES,UTILITIES
Gas,UTILITIES,UTILITIES
Water,UTILITIES,UTILITIES
Security And Alarm,UTILITIES,UTILITIES
Telephone,UTILITIES,UTILITIES
Internet/Email,UTILITIES,UTILITIES
Occupancy Costs - Other,OCCUPANCY COST,OCCUPANCY COST
Rent,OCCUPANCY COST,OCCUPANCY COST
Percentage Rent,OCCUPANCY COST,OCCUPANCY COST
CAM Charges,OCCUPANCY COST,OCCUPANCY COST
Real Estate Escalation Tax,OCCUPANCY COST,OCCUPANCY COST
Storage Rent,OCCUPANCY COST,OCCUPANCY COST
Commercial Rent Tax,OCCUPANCY COST,OCCUPANCY COST
Personal/Tangible Property Tax,OCCUPANCY COST,OCCUPANCY COST
Uncategorized Exp/Ask My Acc,OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
Sales Adjustments - Other,Other Expenses,Other Expenses
Other Income - Other,Other Income,Other Income
Interest Income,Other Income,Other Income
Other Income,Other Income,Other Income
Event Income,Other Income,Other Income
Total Beverages,COST OF GOODS SOLD,Total Beverages
Interest Expense - Other,Other Expenses,Other Expenses
Interest Paid on Loans - 1,Other Expenses,Other Expenses
Interest Paid on Loans - 2,Other Expenses,Other Expenses
Interest on Tax/Penalties,Other Expenses,Other Expenses
Corporate Tax Expense,OTHER FINANCIAL COSTS,OTHER FINANCIAL COSTS
Depreciation Expense,Other Expenses,Other Expenses
Amortization Expense,Other Expenses,Other Expenses
Pre-opening Costs,Other Expenses,Other Expenses
Other Expenses - Other,Other Expenses,Other Expenses
Exchange Differences,Other Expenses,Other Expenses
Rounding Differences,Other Expenses,Other Expenses
Dummy,Dummy,Dummy
Total Cost of Sales - Food,COST OF GOODS SOLD,Total Cost of Sales - Food
Total Cost of Sales - Beverage,COST OF GOODS SOLD,Total Cost of Sales - Beverage
TOTAL COST OF GOODS SOLD - F&B,COST OF GOODS SOLD,TOTAL COST OF GOODS SOLD - F&B
GROSS PROFIT,GROSS PROFIT,GROSS PROFIT
Revenue In House - Other,REVENUE,Total Revenue In House
Revenue In House Food,REVENUE,Total Revenue In House
Revenue In House Soda BIB,REVENUE,Total Revenue In House
Revenue in House Soda Can,REVENUE,Total Revenue In House
Revenue In House Beer,REVENUE,Total Revenue In House
Revenue In House Ice Tea,REVENUE,Total Revenue In House
Revenue In House Wine,REVENUE,Total Revenue In House
Revenue In House Water,REVENUE,Total Revenue In House
Revenue in House Juice,REVENUE,Total Revenue In House
Revenue Delivery - Other,REVENUE,Total Revenue Delievery
Revenue Delivery Food,REVENUE,Total Revenue Delievery
Revenue Delivery Soda BIB,REVENUE,Total Revenue Delievery
Revenue Delivery Soda Can,REVENUE,Total Revenue Delievery
Revenue Delivery Beer,REVENUE,Total Revenue Delievery
Revenue Delivery Ice Tea,REVENUE,Total Revenue Delievery
Revenue Delivery Wine,REVENUE,Total Revenue Delievery
Revenue Delivery Water,REVENUE,Total Revenue Delievery
Revenue Delivery Juice,REVENUE,Total Revenue Delievery
Revenue - Retail,REVENUE,Revenue - Retail
Revenue - Delivery fee,REVENUE,Revenue - Delivery fee
Comps & Promos - Other,REVENUE,Total Comps & Promos
Comps & Promos (In House),REVENUE,Total Comps & Promos
Comps & Promos (Delivery),REVENUE,Total Comps & Promos
Sales Adjustment,REVENUE,Sales Adjustment
Licensing fees received,REVENUE,Licensing fees received
Management Fees Income,TOTAL INCOME,INCOME
Events,REVENUE,Events
TOTAL PRIME COST,TOTAL PRIME COST,TOTAL PRIME COST
TOTAL OPERATING EXPENSE,TOTAL OPERATING EXPENSE,TOTAL OPERATING EXPENSE
TOTAL STORE LEVEL EXPENSE,TOTAL STORE LEVEL EXPENSE,TOTAL STORE LEVEL EXPENSE
Food - Other,COST OF GOODS SOLD,Total Food
Food Purchases,COST OF GOODS SOLD,Total Food
Food - Stock Adjustment,COST OF GOODS SOLD,Total Food
Bakery - Other,COST OF GOODS SOLD,Total Cost of Sales - Bakery
Bakery Purchases,COST OF GOODS SOLD,Total Cost of Sales - Bakery
Bakery - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Bakery
Dairy - Other,COST OF GOODS SOLD,Total Cost of Sales - Dairy
Dairy Purchases,COST OF GOODS SOLD,Total Cost of Sales - Dairy
Dairy - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Dairy
Meat - Other,COST OF GOODS SOLD,Total Cost of Sales - Meat
Meat Purchases,COST OF GOODS SOLD,Total Cost of Sales - Meat
Meat - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Meat
Mozzarella - Other,COST OF GOODS SOLD,Total Cost of Sales - Mozzarella
Mozzarella Purchases,COST OF GOODS SOLD,Total Cost of Sales - Mozzarella
Mozzarella - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Mozzarella
Produce - Other,COST OF GOODS SOLD,Total Cost of Sales - Produce
Produce Purchases,COST OF GOODS SOLD,Total Cost of Sales - Produce
Produce - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Produce
Seafood - Other,COST OF GOODS SOLD,Total Cost of Sales - Seafood
Seafood Purchases,COST OF GOODS SOLD,Total Cost of Sales - Seafood
Seafood - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Seafood
Oils - Other,COST OF GOODS SOLD,Total Cost of Sales - Oils
Oils Purchases,COST OF GOODS SOLD,Total Cost of Sales - Oils
Oils - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Oils
Sauces - Other,COST OF GOODS SOLD,Total Cost of Sales - Sauces
Sauces Purchases,COST OF GOODS SOLD,Total Cost of Sales - Sauces
Sauces - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Sauces
Cost of Sales - Food - Other,COST OF GOODS SOLD,Cost of Sales - Food - Other
TOTAL STORE LEVEL PROFIT,TOTAL STORE LEVEL PROFIT,TOTAL STORE LEVEL PROFIT
Cost of Sales - Wine - Other,COST OF GOODS SOLD,Total Cost of Sales - Wine
Wine Purchases,COST OF GOODS SOLD,Total Cost of Sales - Wine
Wine - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Wine
Cost of Goods Sold - Beverage - Other,COST OF GOODS SOLD,Cost of Goods Sold - Beverage - Other
Cost of Sales - Beer - Other,COST OF GOODS SOLD,Total Cost of Sales - Beer
Beer Purchases,COST OF GOODS SOLD,Total Cost of Sales - Beer
Beer - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Beer
TOTAL OPERATING EXPENSES,TOTAL OPERATING EXPENSES,TOTAL OPERATING EXPENSES
Cost of Sales - Ice Tea - Other,COST OF GOODS SOLD,Total Cost of Sales - Ice Tea
Ice Tea Purchases,COST OF GOODS SOLD,Total Cost of Sales - Ice Tea
Ice Tea - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Ice Tea
Cost of Sales - Soda - BIB - Other,COST OF GOODS SOLD,Total Cost of Sales - Soda - BIB
Soda - BIB Purchases,COST OF GOODS SOLD,Total Cost of Sales - Soda - BIB
Soda - BIB - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Soda - BIB
EBITDA,EBITDA,EBITDA
Cost of Sales - Soda - Cans - Other,COST OF GOODS SOLD,Total Cost of Sales - Soda - Cane
Soda - Cans Purchases,COST OF GOODS SOLD,Total Cost of Sales - Soda - Cane
Soda - Cans - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Soda - Cane
Cost of Sales - Juice - Other,COST OF GOODS SOLD,Total Cost of Sales - Juice
Juice Purchases,COST OF GOODS SOLD,Total Cost of Sales - Juice
Juice - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Juice
Cost of Sales - Water - Other,COST OF GOODS SOLD,Total Cost of Sales - Water
Water Purchases,COST OF GOODS SOLD,Total Cost of Sales - Water
Water - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Water
Cost of Sales - Events - Other,COST OF GOODS SOLD,Total Cost of Sales - Events
Event Items purchase,COST OF GOODS SOLD,Total Cost of Sales - Events
Cost of Sales - Retails - Other,COST OF GOODS SOLD,Cost of Sales - Retails - Other
Retail Purchases,COST OF GOODS SOLD,Retail Purchases
Retail - Stock Adjustment,COST OF GOODS SOLD,Retail - Stock Adjustment
PROFIT BEFORE TAX & DEPRECIATION,PROFIT BEFORE TAX & DEPRECIATION,PROFIT BEFORE TAX & DEPRECIATION
Use Tax on Comps,G&A,Use Tax on Comps
NET PROFIT/(LOSS),NET PROFIT/(LOSS),NET PROFIT/(LOSS)
Labour - Other,STAFF COST,TOTAL OTHER STAFF COST
Wages - Other,STAFF COST,Wages - Other
Employment Benefits - Other,STAFF COST,Total Employer Benefits
Wages - F.O.H. Wages - Other,STAFF COST,Total Wages - F.O.H. Wages
Wages - B.O.H. Wages - Other,STAFF COST,Total Wages - B.O.H. Wages
Wages - F.O.H. Management,STAFF COST,TOTAL OTHER STAFF COST
Wages - B.O.H. Management,STAFF COST,TOTAL OTHER STAFF COST
Wages - Agency,STAFF COST,TOTAL OTHER STAFF COST
Wages - 1099,STAFF COST,TOTAL OTHER STAFF COST
Cash - Wages,STAFF COST,TOTAL OTHER STAFF COST
Consulting fees,STAFF COST,TOTAL OTHER STAFF COST
Executive Fees,STAFF COST,TOTAL OTHER STAFF COST
Catering & Admin,STAFF COST,TOTAL OTHER STAFF COST
Assistant Manager,STAFF COST,Total Wages - F.O.H. Wages
Counter,STAFF COST,Total Wages - F.O.H. Wages
Delivery,STAFF COST,Total Wages - B.O.H. Wages
General Manager,STAFF COST,Total Wages - F.O.H. Wages
Shift Leader,STAFF COST,Total Wages - F.O.H. Wages
Pizza,STAFF COST,Total Wages - B.O.H. Wages
Oven,STAFF COST,Total Wages - B.O.H. Wages
Prep,STAFF COST,Total Wages - B.O.H. Wages
Operations,STAFF COST,Total Wages - F.O.H. Wages
Payroll Expense,STAFF COST,TOTAL OTHER STAFF COST
Dishwasher/Porter,STAFF COST,Total Wages - B.O.H. Wages
Catering/Social Media,TOTAL OTHER EXPENSES,OTHER EXPENSES
Human Resource,STAFF COST,Total Wages - F.O.H. Wages
Server,STAFF COST,Total Wages - F.O.H. Wages
Supervisor,STAFF COST,Total Wages - F.O.H. Wages
Employer Taxes - Other,STAFF COST,Total Employer Taxes
Federal FUTA,STAFF COST,Total Employer Taxes
Medicare & Social Security,STAFF COST,Total Employer Taxes
Ny Re-employment,STAFF COST,Total Employer Taxes
Ny MTAI,STAFF COST,Total Employer Taxes
State SUI,STAFF COST,Total Employer Taxes
OASDI,STAFF COST,Total Employer Taxes
ERTC,STAFF COST,Total Employer Taxes
Staff Workman's Comp,STAFF COST,Total Employer Benefits
Staff Insurance - Other,STAFF COST,Total Employer Benefits
Medical,STAFF COST,Total Employer Benefits
Dental,STAFF COST,Total Employer Benefits
Vision,STAFF COST,Total Employer Benefits
Disability,STAFF COST,Total Employer Benefits
PFL Insurance,STAFF COST,Total Employer Benefits
Staff Recruitment,STAFF COST,Total Employer Benefits
Staff Training,STAFF COST,Total Employer Benefits
Staff Uniforms,STAFF COST,Total Employer Benefits
Staff Meals,STAFF COST,Total Employer Benefits
Executive Benefits,STAFF COST,Total Employer Benefits
Staff Accommodation/Relocation,STAFF COST,Total Employer Benefits
Staff First Aid,STAFF COST,Total Employer Benefits
Training,STAFF COST,Total Employer Benefits
Paid Time Off,STAFF COST,Total Employer Benefits
Bonus,STAFF COST,Total Employer Benefits
Vacation,STAFF COST,Total Employer Benefits
G&A - Other,G&A,G&A - Other
Advertising,CONTROLLABLES,Advertising
Public Relations,CONTROLLABLES,Public Relations
Marketing,CONTROLLABLES,Marketing
Branding & Design,TOTAL OTHER EXPENSES,OTHER EXPENSES
R & D,TOTAL OTHER EXPENSES,OTHER EXPENSES
Event Expenses,CONTROLLABLES,Event Expenses
Delivery Commission - Other,G&A,Total Delivery Commission Fees
Grubhub Commission,G&A,Total Delivery Commission Fees
Chownow Commission,G&A,Total Delivery Commission Fees
Ezcater Commission,G&A,Total Delivery Commission Fees
CaterCow Commission,G&A,Total Delivery Commission Fees
Slice Commission,G&A,Total Delivery Commission Fees
UberEats Commission,G&A,Total Delivery Commission Fees
Doordash Commission,G&A,Total Delivery Commission Fees
Too Good To Go Commission,G&A,Total Delivery Commission Fees
Sharebite Commission,G&A,Total Delivery Commission Fees
Subscriptions,G&A,Subscriptions
Photography expense,TOTAL OTHER EXPENSES,OTHER EXPENSES
Complimentary Cost,G&A,Complimentary Cost
Airfare,CONTROLLABLES,Airfare
Entertainment Meals,CONTROLLABLES,Entertainment Meals
Lodging,CONTROLLABLES,Lodging
Shipping and Freight,CONTROLLABLES,Shipping and Freight
Transportation,CONTROLLABLES,Transportation
Delivery Service Fees,G&A,Delivery Service Fees
Telecommunications - Other,CONTROLLABLES,Total Telecommunication Cost
Telephone,CONTROLLABLES,Total Telecommunication Cost
Postage & Courier,G&A,Postage & Courier
Internet,CONTROLLABLES,Total Telecommunication Cost
Cable (TV),CONTROLLABLES,Total Telecommunication Cost
Controllables - Other,CONTROLLABLES,Controllables - Other
Linen & Laundry,CONTROLLABLES,Linen & Laundry
Cleaning Supplies,CONTROLLABLES,Cleaning Supplies
Cleaning Contract Services,CONTROLLABLES,Cleaning Contract Services
Pest Control,G&A,Pest Control
Waste Removal Service,G&A,Waste Removal Service
FIre contract service,G&A,FIre contract service
Kitchen Supplies,CONTROLLABLES,Kitchen Supplies
FOH Supplies,CONTROLLABLES,FOH Supplies
Total Cost of Sales - Pizza Boxes,COST OF GOODS SOLD,Total Cost of Sales - Pizza Boxes
Total Cost of Sales - Paper Supplies,COST OF GOODS SOLD,Total Cost of Sales - Paper Supplies
Smallwares,CONTROLLABLES,Smallwares
Plasticware,CONTROLLABLES,Plasticware
Glassware,CONTROLLABLES,Glassware
Barware,CONTROLLABLES,Barware
Music,G&A,Music
Décor,CONTROLLABLES,Décor
Office Supplies/Stationery,CONTROLLABLES,Office Supplies/Stationery
Menus,CONTROLLABLES,Menus
Printing and Reproduction,CONTROLLABLES,Printing and Reproduction
IT,TOTAL OTHER EXPENSES,OTHER EXPENSES
Equipment Rental,CONTROLLABLES,Equipment Rental
Repairs - Building,CONTROLLABLES,Repairs - Building
Repairs - Equipment,CONTROLLABLES,Repairs - Equipment
Repairs - General,CONTROLLABLES,Repairs - General
Repairs - Electrical,CONTROLLABLES,Repairs - Electrical
Repairs - Plumbing,CONTROLLABLES,Repairs - Plumbing
Repairs - Refrigeration,CONTROLLABLES,Repairs - Refrigeration
Occupancy - Other,TOTAL OCCUPANCY COST,OCCUPANCY COST
Legal Fees,G&A,Legal Fees
Audit Fees,OTHER OPERATING EXPENSES,OTHER OPERATING EXPENSES
Tax Fees,G&A,Tax Fees
Professional Fees,TOTAL OTHER EXPENSES,OTHER EXPENSES
Accountancy Fees,G&A,Accountancy Fees
Consulting Fees,G&A,Consulting Fees
Payroll Processing Fees,G&A,Payroll Processing Fees
Credit Card Fees,G&A,Credit Card Fees
Credit Card Charges - Fania,G&A,Credit Card Charges - Fania
Credit Card Charges - Chris,G&A,Credit Card Charges - Chris
Credit Card Charges - Phil,G&A,Credit Card Charges - Phil
Chargeback (Toast),G&A,Chargeback (Toast)
Bank Charges,G&A,Bank Charges
Donations,OTHER OPERATING EXPENSES,OTHER OPERATING EXPENSES
Royalties,OTHER OPERATING EXPENSES,OTHER OPERATING EXPENSES
Corporation Tax,TOTAL OTHER EXPENSES,OTHER EXPENSES
Tangible Property Tax,OTHER OPERATING EXPENSES,OTHER OPERATING EXPENSES
Penalties,TOTAL OTHER EXPENSES,OTHER EXPENSES
Interest on Tax/Penalties,G&A,Interest on Tax/Penalties
Licenses and Permits,G&A,Licenses and Permits
Payroll Admin,STAFF COST,TOTAL OTHER STAFF COST
R&M Manager,STAFF COST,TOTAL OTHER STAFF COST
District Manager,STAFF COST,TOTAL OTHER STAFF COST
Rent,TOTAL OCCUPANCY COST,OCCUPANCY COST
Real Estate Escalation Tax,TOTAL OCCUPANCY COST,OCCUPANCY COST
Commercial Rent Tax,OTHER OPERATING EXPENSES,OTHER OPERATING EXPENSES
Electricity,TOTAL OCCUPANCY COST,OCCUPANCY COST
Gas,TOTAL OCCUPANCY COST,OCCUPANCY COST
Water,TOTAL OCCUPANCY COST,OCCUPANCY COST
Insurance,G&A,Insurance
Insurance,G&A,Insurance
Insurance,G&A,Insurance
Insurance,G&A,Insurance
Security Services,G&A,Security Services
CAM Charges,OTHER OPERATING EXPENSES,OTHER OPERATING EXPENSES
P & L Amortization - Other,TOTAL P&L AMORTIZATION,TOTAL P&L AMORTIZATION
Fees,TOTAL P&L AMORTIZATION,TOTAL P&L AMORTIZATION
Interest Income,TOTAL INCOME,INCOME
Bank Interest,TOTAL INCOME,INCOME
Other Income?,TOTAL INCOME,INCOME
Other Income,TOTAL INCOME,INCOME
Ask My Accountant,TOTAL OTHER EXPENSES,OTHER EXPENSES
Other Expenses - Other,TOTAL OTHER EXPENSES,OTHER EXPENSES
Embezzlement,TOTAL OTHER EXPENSES,OTHER EXPENSES
Over/Under,TOTAL OTHER EXPENSES,OTHER EXPENSES
Rounding Differences,TOTAL OTHER EXPENSES,OTHER EXPENSES
Tax Interest,TOTAL OTHER EXPENSES,OTHER EXPENSES
Tax Penalties,TOTAL OTHER EXPENSES,OTHER EXPENSES
Exchange Differences,TOTAL OTHER EXPENSES,OTHER EXPENSES
Management Fees,TOTAL OTHER EXPENSES,OTHER EXPENSES
MANAGEMENT EXPENSE,TOTAL OTHER EXPENSES,OTHER EXPENSES
Incremental Rent,TOTAL OTHER EXPENSES,OTHER EXPENSES
P & L Depreciation,Total P&L Depreciations,P&L Depreciations
Interest Paid on Loans,TOTAL OTHER EXPENSES,OTHER EXPENSES
Storage Rent,TOTAL OCCUPANCY COST,OCCUPANCY COST
Sales Tax Expense,TOTAL OTHER EXPENSES,OTHER EXPENSES
Total Cost of Sales - Retails,COST OF GOODS SOLD,Total Cost of Sales - Retails
GROSS PROFIT,GROSS PROFIT,GROSS PROFIT
Total Cost of Sales - Food,COST OF GOODS SOLD,Total Cost of Sales - Food
TOTAL OPERATING EXPENSES,TOTAL OPERATING EXPENSES,TOTAL OPERATING EXPENSES
EBITDA,EBITDA,EBITDA
PROFIT BEFORE TAX & DEPRECIATION,PROFIT BEFORE TAX & DEPRECIATION,PROFIT BEFORE TAX & DEPRECIATION
P & L Depreciation,P & L Depreciation,P & L Depreciation
Total Cost of Sales - Tea/Coffee,COST OF GOODS SOLD,Total Cost of Sales - Tea/Coffee
P & L Amortization,P & L Amortization,P & L Amortization
Revenue - Other,REVENUE,TOTAL REVENUE
Food,REVENUE,TOTAL REVENUE
Tea/Coffee,REVENUE,TOTAL REVENUE
Wines,REVENUE,TOTAL REVENUE
Champagne,REVENUE,TOTAL REVENUE
Liquor,REVENUE,TOTAL REVENUE
Beer,REVENUE,TOTAL REVENUE
Other Beverages,REVENUE,TOTAL REVENUE
Retails,REVENUE,TOTAL REVENUE
Discount,REVENUE,TOTAL REVENUE
NET PROFIT/(LOSS),NET PROFIT/(LOSS),NET PROFIT/(LOSS)
Total Cost of Sales - Wine,COST OF GOODS SOLD,Total Cost of Sales - Wine
Cost of Sales - Food - Other,COST OF GOODS SOLD,Total Cost of Sales - Food
Food Purchases,COST OF GOODS SOLD,Total Cost of Sales - Food
Food - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Food
Cost of Sales - Tea/Coffee - Other,COST OF GOODS SOLD,Total Cost of Sales - Tea/Coffee
Tea/Coffee Purchases,COST OF GOODS SOLD,Total Cost of Sales - Tea/Coffee
Tea/Coffee - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Tea/Coffee
Cost of Sales - Wine - Other,COST OF GOODS SOLD,Total Cost of Sales - Wine
Wine Purchases,COST OF GOODS SOLD,Total Cost of Sales - Wine
Wine - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Wine
Cost of Sales - Champagne - Other,COST OF GOODS SOLD,Total Cost of Sales - Champagne
Champagne Purchases,COST OF GOODS SOLD,Total Cost of Sales - Champagne
Champagne - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Champagne
Cost of Sales - Liquor - Other,COST OF GOODS SOLD,Total Cost of Sales - Liquor
Liquor Purchases,COST OF GOODS SOLD,Total Cost of Sales - Liquor
Liquor - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Liquor
Cost of Sales - Beer - Other,COST OF GOODS SOLD,Total Cost of Sales - Beer
Beer Purchases,COST OF GOODS SOLD,Total Cost of Sales - Beer
Beer - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Beer
Cost of Sales - Other Bev - Other,COST OF GOODS SOLD,Total Cost of Sales - Other Beverages
Other Bev Purchases,COST OF GOODS SOLD,Total Cost of Sales - Other Beverages
Other Bev - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Other Beverages
Cost of Sales - Retails - Other,COST OF GOODS SOLD,Total Cost of Sales - Retails
Retail Purchases,COST OF GOODS SOLD,Total Cost of Sales - Retails
Retail - Stock Adjustment,COST OF GOODS SOLD,Total Cost of Sales - Retails
Total Cost of Sales - Champagne,COST OF GOODS SOLD,Total Cost of Sales - Champagne
Total Cost of Sales - Liquor,COST OF GOODS SOLD,Total Cost of Sales - Liquor
Labor Cost,STAFF COST,TOTAL STAFF COST
Wage Cost,STAFF COST,TOTAL STAFF COST
FOH,STAFF COST,TOTAL STAFF COST
Wages - F.O.H. Salaried,STAFF COST,TOTAL STAFF COST
GM,STAFF COST,TOTAL STAFF COST
Assistant Manager,STAFF COST,TOTAL STAFF COST
Floor Manager,STAFF COST,TOTAL STAFF COST
Wages - F.O.H. Hourly,STAFF COST,TOTAL STAFF COST
Wages - F.O.H. Hourly - OT,STAFF COST,TOTAL STAFF COST
Server,STAFF COST,TOTAL STAFF COST
Busser,STAFF COST,TOTAL STAFF COST
Runner,STAFF COST,TOTAL STAFF COST
Bartender,STAFF COST,TOTAL STAFF COST
Barback,STAFF COST,TOTAL STAFF COST
Hostess,STAFF COST,TOTAL STAFF COST
Cashier,STAFF COST,TOTAL STAFF COST
BOH,STAFF COST,TOTAL STAFF COST
Wages - B.O.H. Salaried,STAFF COST,TOTAL STAFF COST
Executive Chef,STAFF COST,TOTAL STAFF COST
Sous Chef,STAFF COST,TOTAL STAFF COST
Chef de Cuisine,STAFF COST,TOTAL STAFF COST
Wages - B.O.H. Hourly,STAFF COST,TOTAL STAFF COST
Wages - B.O.H. Hourly - OT,STAFF COST,TOTAL STAFF COST
Cook,STAFF COST,TOTAL STAFF COST
Steward,STAFF COST,TOTAL STAFF COST
